Product Name,Ad Type,Campaign Id,Ad Group Id,Campaign Name,Ad Group Name,Default Bid,Ad Group Type,ASIN,SKU,Total Cost,Pick Pack Fee,AMZ Price,Referral Fee,BE ROAS,BE ACOS,Organic Target,Sponsored Target,DP CVR,Percentage
Cakeware Pans 7 Inch,Sponsored Products,11379219659749,112636400465767,Cakeware Pans 7 Inch - SP - KW - Main,Cakeware Pans 7 Inch - SP - KW - Main - KW Exact,0.65,KW Exact,B08D75BTWH,ie-pan-7in-1,1.76,5.4,10.95,1.64,5.1,0.2,1.0,2.0,,2.75
Cakeware Pans 7 Inch,Sponsored Products,11379219659749,100188318627497,Cakeware Pans 7 Inch - SP - KW - Main,Cakeware Pans 7 Inch - SP - KW - Main - KW Broad,0.3,KW Broad,B08D75BTWH,ie-pan-7in-1,1.76,5.4,10.95,1.64,5.1,0.2,1.0,2.0,,2.75
Cakeware Pans 7 Inch,Sponsored Products,57937819469199,6816820301331,Cakeware Pans 7 Inch - SP - Prod - Comp,Cakeware Pans 7 Inch - SP - Prod - Comp - ASIN Comp - Direct,0.25,ASIN Comp,B08D75BTWH,ie-pan-7in-1,1.76,5.4,10.95,1.64,5.1,0.2,1.0,2.0,,4.0
Cakeware Pans 9 Inch,Sponsored Brands,75137888402313,,Cakeware Pans 9 Inch - SBV - KW - Main Video - KW Broad,,,KW Broad,B08D75QYRK,ie-pan-9in-1,2.15,5.4,14.95,2.24,2.9,0.35,1.0,2.0,,1.0
Cakeware Pans 9 Inch,Sponsored Brands,184322941151237,,Cakeware Pans 9 Inch - SBV - KW - Main Video - KW Exact - Tiktok Var 2,,,KW Exact,B08D75QYRK,ie-pan-9in-1,2.15,5.4,14.95,2.24,2.9,0.35,1.0,2.0,,1.0
Cakeware Pans 9 Inch,Sponsored Products,87140329779974,194126940769846,Cakeware Pans 9 Inch - SP - KW - Comp,Cakeware Pans 9 Inch - SP - KW - Comp - KW Exact,0.55,KW Exact,B08D75QYRK,ie-pan-9in-1,2.15,5.4,14.95,2.24,2.9,0.35,1.0,2.0,,2.75
Cakeware Pans 9 Inch,Sponsored Products,87140329779974,88512552712850,Cakeware Pans 9 Inch - SP - KW - Comp,Cakeware Pans 9 Inch - SP - KW - Comp - KW Broad,0.4,KW Broad,B08D75QYRK,ie-pan-9in-1,2.15,5.4,14.95,2.24,2.9,0.35,1.0,2.0,,2.75
Cakeware Pans 9 Inch,Sponsored Products,39918972923667,33036283279814,Cakeware Pans 9 Inch - SP - KW - Main,Cakeware Pans 9 Inch - SP - KW - Main - KW Exact,0.65,KW Exact,B08D75QYRK,ie-pan-9in-1,2.15,5.4,14.95,2.24,2.9,0.35,1.0,2.0,,2.75
Cakeware Pans 9 Inch,Sponsored Products,39918972923667,58373222198840,Cakeware Pans 9 Inch - SP - KW - Main,Cakeware Pans 9 Inch - SP - KW - Main - KW Broad,0.45,KW Broad,B08D75QYRK,ie-pan-9in-1,2.15,5.4,14.95,2.24,2.9,0.35,1.0,2.0,,2.75
Cakeware Pans 9 Inch,Sponsored Products,106154278390089,34940848613104,Cakeware Pans 9 Inch - SP - Prod - Comp,Cakeware Pans 9 Inch - SP - Prod - Comp - ASIN Comp - Direct,0.25,ASIN Comp,B08D75QYRK,ie-pan-9in-1,2.15,5.4,14.95,2.24,2.9,0.35,1.0,2.0,,4.0
Cakeware Pans General,Sponsored Products,193493812027169,262974778190558,Cakeware Pans General - SP - KW - Main,Cakeware Pans General - SP - KW - Main - KW Exact,0.55,KW Exact,,,,,,,4.0,0.25,,,,2.5
Cakeware Pans General,Sponsored Products,193493812027169,108506841569112,Cakeware Pans General - SP - KW - Main,Cakeware Pans General - SP - KW - Main - KW Broad,0.35,KW Broad,,,,,,,4.0,0.25,,,,2.5
Dishwasher Cleaner,Sponsored Brands,128432717342912,,Dishwasher Cleaner - SBV - KW - Main Video - KW Exact - (vid2-subs),,,KW Exact,B09MV5B75Y,active-dishwasher-24,2.44,3.22,15.95,2.39,2.02,0.5,1.0,1.0,0.398,1.0
Dishwasher Cleaner,Sponsored Products,167002940530915,8931623599254,Dishwasher Cleaner - SP - Auto - TOS,Dishwasher Cleaner - SP - Auto - TOS,0.25,AUTO,B09MV5B75Y,active-dishwasher-24,2.44,3.22,15.95,2.39,2.02,0.5,1.0,1.0,0.398,6.0
Dishwasher Cleaner,Sponsored Products,112328707270039,124830196633084,Dishwasher Cleaner - SP - KW - Comp,Dishwasher Cleaner - SP - KW - Comp - KW Broad,0.75,KW Broad,B09MV5B75Y,active-dishwasher-24,2.44,3.22,15.95,2.39,2.02,0.5,1.0,1.0,0.398,5.5
